,Hotel,Google_Rate,Google_Habs,Google_Location,Google_Service
0,Rosewood Castiglion del Bosco,4.8,4.3,4.1,4.6
1,Grace Hotel,4.6,4.8,4.6,4.5
2,Waldorf Astoria Maldives Ithaafushi,4.7,4.6,4.6,4.6
3,Pickering House Inn,4.6,4.8,4.6,4.5
4,One&Only Reethi Rah,4.9,4.1,4.6,4.2
5,Royal Mansour Marrakech,4.8,4.2,4.8,4.3
6,Capella Ubud,4.7,3.7,3.8,3.4
7,The Lowell,4.6,,,
8,Hôtel Madame Rêve,4.4,4.2,4.8,3.9
9,Rosewood Villa Magna,4.5,,,
10,The Oberoi New Delhi,4.6,4.8,4.7,4.5
11,The Oberoi Udaivilas,4.8,4.5,4.8,4.8
12,"Mandapa, a Ritz-Carlton Reserve",4.7,4.9,4.3,4.9
13,Wilderness Safaris Bisate Lodge,4.7,,,
14,Portrait Firenze,4.8,4.7,4.8,4.6
15,Raffles Istanbul,4.8,4.7,4.8,4.8
16,The Oberoi Marrakech,4.8,4.8,4.4,4.7
17,Capella Hanoi,4.8,,,
18,White Elephant Palm Beach,4.5,,,
19,The Loutrel,4.9,4.8,4.8,4.5
20,Monasterio,4.8,4.2,4.7,4.9
21,Sani Asterias,4.6,4.5,3.3,5.0
22,Shangri-La the Shard,4.5,4.3,4.5,4.0
23,Coquillade Provence Resort & Spa,4.6,,,
24,Taj Palace,4.7,3.7,4.4,4.2
25,Pendry Chicago,4.6,,,
26,Nayara Tented Camp,4.9,4.7,4.9,4.8
27,Hotel Belmar,4.5,3.8,4.3,4.5
28,Royal Champagne Hôtel & Spa,4.5,4.8,4.8,4.4
29,Under Canvas Mount Rushmore,4.7,4.2,4.2,4.8
30,Riggs Washington D.C.,4.6,,,
31,Waldorf Astoria Los Cabos Pedregal,4.8,,,
32,The Oberoi Vanyavilas Wildlife Resort,4.7,4.2,4.3,4.7
33,Canaves Oia Epitome ,4.8,4.8,4.4,4.7
34,The Standard ,4.3,,,
35,The Oberoi Amarvilas,4.7,4.8,4.7,4.5
36,Hotel Santa Caterina,4.7,4.2,4.8,4.1
37,Raffles Grand Hotel d'Angkor,4.6,4.1,5.0,5.0
38,Nihi Sumba,4.7,4.9,5.0,4.3
39,La Réserve Paris,4.7,4.7,4.9,4.7
40,Hotel de la Ville,4.5,,,
41,Il San Pietro di Positano,4.8,4.9,4.8,4.8
42,Six Senses Yao Noi,4.8,3.0,4.1,4.7
43,Finca Cortesin Hotel Golf & Spa,4.7,,,
44,Secret Bay,4.7,4.1,4.3,3.8
45,Cape Grace,4.7,4.4,4.9,4.9
46,Taj Lake Palace,4.7,4.3,4.8,4.7
47,Taj Falaknuma Palace,4.6,4.5,4.5,4.8
48,Alila Villas Uluwatu,4.8,4.7,5.0,4.6
49,Manoir Hovey,4.7,4.0,4.7,4.7
50,Six Senses Con Dao,4.7,4.4,4.8,4.4
51,Cavas Wine Lodge,4.7,,,
52,Grand Hotel Tremezzo,4.7,4.0,4.8,4.2
53,Nayara Springs,4.9,,,
54,Lodge on Little St. Simons Island,4.8,,,
55,Rancho Santana,4.7,4.2,4.1,4.2
56,Amanpuri,4.7,4.1,4.6,4.8
57,Mandarin Oriental Marrakech,4.6,4.4,4.6,4.7
58,Namale Resort & Spa,4.5,,,
59,Gibb's Farm,4.7,,,
60,Jade Mountain,4.7,4.8,4.2,4.9
61,Borgo Egnazia,4.7,4.1,4.4,4.0
62,Four Seasons Hotel Kyoto,4.6,,,
63,San Ysidro Ranch,4.6,5.0,4.8,
64,The Goring,4.6,3.2,5.0,4.7
65,The Oberoi Rajvilas,4.6,4.8,3.8,4.6
66,Palm Island Resort,4.4,,,
67,Hotel Savoy,4.5,,,
68,Rambagh Palace,4.7,4.5,4.7,4.7
69,Curtain Bluff,4.7,4.5,,
70,"Morrison House Old Town Alexandria, Autograph Collection",4.4,3.7,4.7,4.6
71,"The Lytle Park Hotel, Autograph Collection",,,,
72,Twin Farms,4.7,4.1,4.8,
73,Deer Path Inn,4.7,,,
74,One&Only Nyungwe House,4.8,5.0,5.0,
75,W Santiago,4.6,3.5,4.4,3.7
76,Shangri-La Singapore,4.6,4.2,3.8,4.3
77,L'Ermitage Beverly Hills,4.6,,,
78,Silo Hotel,4.6,5.0,4.8,3.8
79,Katikies Santorini,4.7,4.9,5.0,5.0
80,Nobu Hotel,4.0,,,
81,The Shore Club,4.4,4.2,4.2,4.0
82,Taj Holiday Village Resort & Spa,4.7,3.9,4.7,4.7
83,Mandarin Oriental Bangkok,4.7,4.3,4.2,4.4
84,Auberge Saint-Antoine,4.8,4.3,4.9,4.5
85,Rosewood Miramar Beach,4.5,,,
86,Rio Celeste Hideaway Hotel,4.7,4.5,4.8,4.8
87,Hotel Caesar Augustus,4.8,4.2,5.0,4.6
88,Grand Hotel Villa Serbelloni,4.6,3.7,4.8,4.2
89,Le Bristol Paris,4.7,3.8,4.9,4.6
90,Shangri-La Bosphorus,4.6,4.2,4.4,4.3
91,The Palms Turks & Caicos,4.5,3.8,4.2,3.6
92,"The Lodge at Blue Sky, Auberge Resorts Collection",4.7,,,
93,Little Palm Island Resort & Spa,4.6,3.3,4.3,
94,Le Sirenuse,4.6,4.6,5.0,4.7
95,andBeyond Ngorongoro Crater Lodge,4.7,,,
96,Casa San Agustín,4.6,4.4,4.8,4.7
97,The Connaught,4.7,3.8,5.0,4.4
98,Wentworth Mansion,4.8,4.3,4.4,4.7
99,Taj Lands End,4.6,4.2,4.6,4.4
100,Birkenhead House,4.8,4.8,5.0,5.0
101,Mahali Mzuri,4.8,,,
102,Nayara Tented Group,4.9,4.7,4.9,4.8
103,The Opposite House,4.5,4.1,4.7,4.6
104,Capella Bangkok,4.7,4.5,4.0,4.7
107,Kamalame Cay,4.7,,,
109,The Temple House,4.6,4.1,4.9,4.4
111,Hotel Paracas,4.7,4.3,4.4,4.4
113,"Savute Elephant Lodge, A Belmond Safari",4.6,,,
115,Mandarin Oriental Milan,4.7,3.5,4.8,4.5
116,La Reserve Paris,4.7,4.7,4.9,4.7
117,Nobu Ryokan,4.5,,,
118,Soneva Fushi,4.8,,,
120,Alila Manggis,4.6,3.9,4.4,4.8
121,Phinda Vlei Lodge,4.8,,,
122,Il Sereno Lago di Como,,,,
125,Istanbul At Sultanahmet,4.7,4.9,4.7,4.6
126,The Peninsula Manila,4.7,4.2,4.2,4.6
127,Hotel Il Pellicano,4.7,3.8,4.7,4.1
128,Hotel Fasano Boa Vista,4.7,4.5,4.0,3.5
129,Halekulani Okinawa,4.5,4.6,4.0,4.3
130,The Lake House on Canandaigua,4.3,,,
131,Hyatt Regency Amritsar,4.3,2.5,4.7,3.8
132,Leela Palace Udaipur,4.7,4.5,4.6,4.3
133,Nayara Gardens,4.9,4.7,4.8,4.8
134,Pickering House Inn,4.9,,,
135,Rancho Valencia Resort & Spa,4.8,,,
137,The Oberoi Mumbai,4.7,4.4,4.9,4.8
138,Tierra Atacama Hotel & Spa,4.7,3.8,3.8,4.9
139,Viceroy Riviera Maya,4.5,,,
140,St. Regis Istanbul,4.6,4.0,4.7,4.0
141,Katikies Mykonos,4.7,4.2,4.6,4.3
142,The Lanesborough,4.6,3.9,4.5,4.2
144,The Roundtree,4.9,,,
145,Mashpi Lodge,4.9,5.0,4.6,4.9
146,Angama Mara,4.7,5.0,5.0,5.0
148,Grand Hotel Excelsior Vittoria,4.7,4.6,4.7,4.4
149,Sumaq Machu Picchu Hotel,4.6,4.2,4.5,4.0
150,Las Ventanas al Paraíso,4.8,,,
152,Viceroy Chicago,4.6,,,
154,Singita Grumeti,4.9,,,
155,Four Seasons Bangkok,4.7,3.9,4.2,4.6
157,The Lodge & Spa at Brush Creek Ranch,4.5,,,
159,St. Regis Florence,4.7,4.3,4.7,4.4
160,Mandarin Oriental Paris,4.6,3.4,4.8,4.4
161,Matetsi Victoria Falls,4.7,,,
162,Round Hill Hotel and Villas,4.6,4.9,5.0,4.9
163,Khwai River Lodge,4.7,,,
164,Soneva Jani,4.5,,,
166,Inn of the Five Graces,4.8,4.9,4.0,4.6
167,"Zadun, a Ritz-Carlton Reserve",4.7,,,
168,Mfuwe Lodge,4.5,4.2,5.0,5.0
169,InterContinental Bora Bora Resort & Thalasso Spa,4.8,4.7,4.4,4.8
170,Banyan Tree Cabo Marqués,4.8,,,
171,Ngala Safari Lodge,4.8,,,
172,Sasaab,4.8,,,
173,The Sukhothai Bangkok,4.6,4.3,4.1,4.8
174,The Oberoi Grand,4.4,3.8,4.6,4.5
175,Hôtel Plaza Athénée,4.6,3.8,4.9,4.1
176,Mahekal Beach Resort,4.5,,,
177,The Fullerton Hotel Singapore,4.6,4.3,4.8,4.2
179,Casa Chameleon,4.7,4.7,4.4,2.6
180,Hôtel Crillon Le Brave,4.6,4.6,4.9,4.0
183,Six Senses Laamu,4.8,,,
185,The Wickaninnish Inn,4.4,4.7,4.8,4.1
186,Penha Longa Resort,4.7,3.5,4.2,3.8
187,The St. Regis Bora Bora Resort,4.8,4.3,4.7,4.3
188,Lion Sands Game Reserve,4.9,4.6,5.0,4.8
190,The Oyster Box,4.7,3.8,4.9,4.4
191,The Stafford,4.7,3.5,4.9,4.7
192,"Tambo del Inka, a Luxury Collection Resort & Spa",4.8,4.6,3.8,4.2
193,Cap Maison,4.7,4.0,4.3,4.0
194,Tensing Pen,4.7,4.6,4.6,4.3
195,Hôtel Le Toiny,4.5,5.0,4.0,5.0
196,Rosewood Mayakoba,4.8,,,
197,Canaves Oia Boutique Hotel,4.9,,,
198,Montage Los Cabos,4.8,,,
199,Badrutt's Palace Hotel,4.7,4.4,4.8,4.4
